#{"t_start": 1733273477.165031, "env_id": "None"}
r,l,t
-0.002266,8,0.426564
-0.002343,8,0.440402
-0.001912,6,0.451098
-0.006633,26,0.544957
-0.002353,8,0.560065
-0.00201,6,0.571106
-0.002266,8,0.587714
-0.006483,26,0.633283
-0.002329,8,0.648328
-0.002416,8,0.661363
-0.006762,26,0.710631
-0.035453,105,0.913278
-0.00645,26,0.954227
-0.006847,26,0.995788
-0.006374,26,1.068614
-0.006546,26,1.131213
-0.00242,8,1.152989
-0.003273,8,1.178738
-0.006485,26,1.272539
-0.002261,8,1.292175
-0.001946,6,1.307884
-0.037372,105,1.489279
-0.002459,8,1.502508
-0.006323,26,1.544318
-0.00246,8,1.55918
-0.001912,6,1.567701
-0.006784,26,1.607508
-0.006508,26,1.656906
-0.002284,8,1.677298
-0.006569,26,1.731843
-0.03841,105,1.941545
-0.00242,8,1.962359
-0.002434,8,1.977004
-0.006787,26,2.035211
-0.00246,8,2.059782
-0.002298,8,2.075294
-0.006786,26,2.130424
-0.002006,6,2.142987
-0.001946,6,2.154898
-0.002266,8,2.172146
-0.006443,26,2.233159
-0.006688,28,2.296604
-0.00242,8,2.31531
-0.002479,8,2.330423
-0.001912,6,2.344739
-0.002415,8,2.363357
-0.003382,8,2.384233
-0.002261,8,2.401698
-0.006915,28,2.467783
-0.006645,26,2.560112
-0.002279,8,2.573109
-0.00228,8,2.587485
-0.002304,8,2.600901
-0.006793,26,2.661807
-0.006791,26,2.70689
-0.002261,8,2.725946
-0.002416,8,2.745582
-0.002039,6,2.760193
-0.002523,8,2.781818
-0.001991,9,2.802864
-0.036818,105,3.040226
-0.037181,105,3.185552
-0.002298,8,3.197747
-0.007019,28,3.236407
-0.035819,105,3.398609
-0.006411,26,3.43696
-0.002353,8,3.44793
-0.006694,28,3.489509
-0.003109,8,3.498479
-0.036196,105,3.632104
-0.006771,26,3.66361
-0.002323,8,3.676003
-0.003564,8,3.686264
-0.002416,8,3.698364
-0.039126,105,3.862641
-0.006366,26,3.904124
-0.002329,8,3.918495
-0.001946,6,3.930303
-0.002427,8,3.948483
-0.002446,8,3.966193
-0.006923,26,4.010953
-0.002261,8,4.024172
-0.002385,8,4.037826
-0.002343,8,4.051311
-0.036747,105,4.192893
-0.006566,28,4.227347
-0.002402,8,4.237494
-0.00228,8,6.292429
-0.00228,8,6.301648
-0.00246,8,6.31429
-0.034908,105,6.446532
-0.001912,6,6.455572
-0.038017,105,6.596567
-0.001912,6,6.603667
-0.006986,28,6.639404
-0.007178,28,6.675649
-0.001912,6,6.682683
-0.002434,8,6.691266
-0.006647,28,6.730119
-0.001946,6,6.739146
-0.002416,8,6.747709
-0.001912,6,6.756885
-0.006477,26,6.786128
-0.00307,8,6.795307
-0.006471,26,6.827139
-0.001912,6,6.834761
-0.002329,8,6.844414
-0.037669,105,6.973661
-0.002416,8,6.983279
-0.002402,8,6.994637
-0.00307,8,7.003252
-0.035487,105,7.139262
-0.00228,8,7.150025
-0.00228,8,7.159178
-0.001946,6,7.165189
-0.002266,8,7.17632
-0.002298,8,7.185149
-0.00228,8,7.194203
-0.002298,8,7.20401
-0.006457,26,7.237106
-0.002404,8,7.245869
-0.006554,26,7.277685
-0.003465,22,7.303205
-0.006955,28,7.3395
-0.002266,8,7.349694
-0.00307,8,7.358805
-0.003065,8,7.369646
-0.002343,8,7.37868
-0.002261,8,7.389224
-0.001977,6,7.39687
-0.002465,8,7.407391
-0.047602,112,7.559835
-0.003773,22,7.587616
-0.002361,8,7.598544
-0.002342,8,7.610876
-0.03699,105,7.749441
-0.036359,105,7.878963
-0.00678,26,7.911731
-0.006671,26,7.943644
-0.006797,26,7.975731
-0.037049,105,8.114256
-0.002039,6,8.121802
